,County,Partial,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Registered Voters_2018Senate,Turnout_2018Senate,Abbott_2018,Valdez_2018,Total Ballots_2018Governor,Registered Voters_2018Governor,Turnout_2018Governor,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President
0,BURNET,No,18721.0,5615.0,24646.0,33697.0,73.14,18642.0,5299.0,24468.0,33697.0,72.61,13859.0,4444.0,18490.0,31072.0,59.51,14497.0,3712.0,18549.0,31072.0,59.7,14638.0,3797.0,19204.0,29587.0,64.91
1,LAMPASAS,No,8070.0,2134.0,10373.0,15424.0,67.25,8086.0,1969.0,10304.0,15424.0,66.8,5836.0,1569.0,7470.0,14099.0,52.98,6073.0,1343.0,7517.0,14099.0,53.32,6385.0,1483.0,8205.0,13786.0,59.52
2,CORYELL,No,15397.0,7542.0,23425.0,41450.0,56.51,15331.0,7096.0,23182.0,41450.0,55.93,10626.0,5067.0,15863.0,38635.0,41.06,11281.0,4392.0,15931.0,38635.0,41.23,12225.0,5064.0,18253.0,37644.0,48.49
3,HAMILTON,No,3613.0,641.0,4347.0,5832.0,74.54,3572.0,593.0,4274.0,5832.0,73.29,2795.0,507.0,3330.0,5611.0,59.35,2903.0,405.0,3338.0,5611.0,59.49,3060.0,479.0,3620.0,5467.0,66.22
4,BOSQUE,No,7446.0,1552.0,9094.0,12724.0,71.47,7341.0,1483.0,9006.0,12724.0,70.78,5718.0,1374.0,7155.0,12209.0,58.6,5948.0,1104.0,7158.0,12209.0,58.63,6339.0,1278.0,7838.0,12002.0,65.31
5,HILL,No,11869.0,2829.0,14843.0,23625.0,62.83,11788.0,2660.0,14740.0,23625.0,62.39,8927.0,2443.0,11433.0,22743.0,50.27,9262.0,2052.0,11430.0,22743.0,50.26,10108.0,2547.0,12970.0,22825.0,56.82
6,SOMERVELL,No,4099.0,768.0,4940.0,6712.0,73.6,4097.0,712.0,4915.0,6712.0,73.23,3033.0,633.0,3691.0,6287.0,58.71,3143.0,499.0,3684.0,6287.0,58.6,3206.0,541.0,3897.0,6018.0,64.76
7,JOHNSON,No,54523.0,16418.0,71864.0,105574.0,68.07,54306.0,15431.0,71317.0,105574.0,67.55,39571.0,12411.0,52436.0,97157.0,53.97,41485.0,10105.0,52364.0,97157.0,53.9,44382.0,10988.0,57606.0,91725.0,62.8
