,County,Partial,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Registered Voters_2018Senate,Turnout_2018Senate,Abbott_2018,Valdez_2018,Total Ballots_2018Governor,Registered Voters_2018Governor,Turnout_2018Governor,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President
0,WASHINGTON,No,12949.0,4254.0,17410.0,23947.0,72.7,12979.0,4013.0,17265.0,23947.0,72.1,10134.0,3263.0,13492.0,23253.0,58.02,10532.0,2730.0,13470.0,23253.0,57.93,10945.0,3382.0,14828.0,22951.0,64.61
1,FAYETTE,No,10163.0,2650.0,12924.0,17398.0,74.28,10047.0,2623.0,12844.0,17398.0,73.82,8228.0,2198.0,10479.0,16626.0,63.03,8576.0,1777.0,10461.0,16626.0,62.92,8743.0,2144.0,11174.0,16279.0,68.64
2,COLORADO,No,7440.0,2403.0,9912.0,14378.0,68.94,7336.0,2345.0,9838.0,14378.0,68.42,5779.0,1825.0,7637.0,13938.0,54.79,5992.0,1558.0,7613.0,13938.0,54.62,6325.0,1987.0,8513.0,13871.0,61.37
3,AUSTIN,No,11282.0,2931.0,14368.0,20293.0,70.8,11294.0,2732.0,14297.0,20293.0,70.45,8722.0,2241.0,11047.0,19406.0,56.93,9009.0,1897.0,11029.0,19406.0,56.83,9637.0,2320.0,12274.0,19263.0,63.72
4,WALLER,No,14206.0,8130.0,22617.0,35116.0,64.41,14162.0,7672.0,22345.0,35116.0,63.63,10167.0,6335.0,16603.0,32584.0,50.95,10639.0,5791.0,16600.0,32584.0,50.95,10531.0,5748.0,16784.0,31132.0,53.91
