,County,Partial,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Registered Voters_2018Senate,Turnout_2018Senate,Abbott_2018,Valdez_2018,Total Ballots_2018Governor,Registered Voters_2018Governor,Turnout_2018Governor,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President
0,REAL,No,1643.0,320.0,1982.0,2702.0,73.35,1626.0,286.0,1939.0,2702.0,71.76,1311.0,245.0,1564.0,2590.0,60.39,1341.0,213.0,1566.0,2590.0,60.46,1382.0,262.0,1681.0,2522.0,66.65
1,KERR,No,20858.0,6510.0,27710.0,37726.0,73.45,21000.0,5933.0,27505.0,37726.0,72.91,16822.0,5198.0,22205.0,35854.0,61.93,17566.0,4268.0,22132.0,35854.0,61.73,17727.0,4681.0,23297.0,34644.0,67.25
2,BANDERA,No,10050.0,2503.0,12703.0,17098.0,74.3,9950.0,2291.0,12530.0,17098.0,73.28,7643.0,1865.0,9584.0,15869.0,60.39,7866.0,1602.0,9588.0,15869.0,60.42,8163.0,1726.0,10218.0,15524.0,65.82
3,GILLESPIE,No,12495.0,3163.0,15817.0,20404.0,77.52,12522.0,2985.0,15747.0,20404.0,77.18,9890.0,2572.0,12543.0,19294.0,65.01,10351.0,2030.0,12545.0,19294.0,65.02,10446.0,2288.0,13214.0,18968.0,69.66
4,KENDALL,No,20064.0,6008.0,26419.0,33836.0,78.08,20561.0,5325.0,26358.0,33836.0,77.9,15292.0,4340.0,19796.0,30774.0,64.33,16076.0,3382.0,19744.0,30774.0,64.16,15700.0,3643.0,20120.0,29077.0,69.2
5,BLANCO,No,5429.0,1905.0,7419.0,9344.0,79.4,5441.0,1812.0,7391.0,9344.0,79.1,4181.0,1570.0,5808.0,8504.0,68.3,4329.0,1351.0,5795.0,8504.0,68.14,4212.0,1244.0,5685.0,8033.0,70.77
