County,Partial
El Paso,Yes
Hudspeth,No
Culberson,No
Reeves,No
Jeff Davis,No
Presidio,No
Brewster,No
Loving,No
Winkler,No
Ward,No
Crane,No
Pecos,No
"Upton	",No
Reagan,No
Crockett,No
Terrell,No
Schleicher,No
Sutton,No
Val Verde,No
Edwards,No
Kinney,No
Maverick,No
Uvalde,No
Zavala,No
Dimmit,No
La Salle,Yes
Frio,No
Medina,No
Bexar,Yes
