CAMERON	104 of 104 precinct reporting	40,303	48,834	54,592	63,732	574	725	275	334	0	0	8	8	0	0	0	0	0	0	1	1	0	0	0	0	1	1	113,635	218,910	51.91%
CAMP	5 of 5 precinct reporting	3,119	3,626	1,147	1,392	24	31	5	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,057	7,904	63.98%
CARSON	9 of 9 precinct reporting	1,649	2,747	216	289	23	36	2	3	0	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,081	4,345	70.91%
CASS	19 of 19 precinct reporting	8,424	10,979	2,281	2,777	56	79	10	17	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	13,856	20,889	66.33%
CASTRO	9 of 9 precinct reporting	834	1,601	269	466	2	9	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,082	3,853	54.04%
CHAMBERS	15 of 15 precinct reporting	15,380	17,343	3,457	3,997	201	250	34	49	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21,641	30,709	70.47%
CHEROKEE	25 of 25 precinct reporting	11,818	15,065	3,502	4,196	116	160	24	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,457	29,166	66.71%
CHILDRESS	5 of 5 precinct reporting	1,525	1,928	244	305	12	18	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,259	3,658	61.76%
CLAY	17 of 17 precinct reporting	3,659	5,064	474	614	28	46	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,736	7,959	72.07%
COCHRAN	4 of 4 precinct reporting	550	806	118	176	5	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	1,771	56.24%
COKE	5 of 5 precinct reporting	1,104	1,565	168	215	4	9	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,794	2,414	74.32%
COLEMAN	5 of 5 precinct reporting	3,126	3,638	393	450	19	23	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,120	5,960	69.13%
COLLIN	240 of 240 precinct reporting	229,730	250,194	213,187	227,868	5,094	6,038	1,028	1,223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485,323	648,670	74.82%
COLLINGSWORTH	8 of 8 precinct reporting	724	1,048	112	155	8	12	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,218	1,942	62.72%
COLORADO	5 of 5 precinct reporting	5,894	7,440	2,076	2,403	38	49	14	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9,912	14,378	68.94%
COMAL	30 of 30 precinct reporting	56,111	62,260	22,457	24,369	843	1,094	155	190	0	0	16	18	0	0	2	2	4	9	0	0	0	0	0	0	0	0	87,942	115,876	75.89%
COMANCHE	15 of 15 precinct reporting	3,965	5,177	686	852	26	49	2	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,084	9,562	63.63%
CONCHO	9 of 9 precinct reporting	636	1,058	138	197	7	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,268	1,757	72.17%
COOKE	30 of 30 precinct reporting	10,956	15,579	2,555	3,205	100	156	19	26	0	0	7	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	18,974	27,268	69.58%
CORYELL	16 of 16 precinct reporting	12,453	15,397	6,479	7,542	285	406	57	77	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	23,425	41,450	56.51%
COTTLE	5 of 5 precinct reporting	399	543	88	113	4	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	1,041	63.88%
CRANE	4 of 4 precinct reporting	906	1,247	170	241	7	10	2	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1,503	2,663	56.44%
CROCKETT	5 of 5 precinct reporting	939	1,219	269	344	4	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,573	2,473	63.61%
CROSBY	5 of 5 precinct reporting	868	1,396	337	527	12	22	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,953	3,629	53.82%
CULBERSON	6 of 6 precinct reporting	256	415	297	438	4	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	1,709	50.56%
DALLAM	10 of 10 precinct reporting	889	1,386	128	196	8	18	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,605	3,046	52.69%
DALLAS	1,170 of 1,170 precinct reporting	262,198	306,572	527,822	597,407	7,292	9,606	2,738	3,660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917,245	1,398,469	65.59%
DAWSON	10 of 10 precinct reporting	2,307	2,951	589	808	18	25	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,789	7,104	53.34%
DEAF SMITH	5 of 5 precinct reporting	2,672	3,293	925	1,263	23	35	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,608	8,900	51.78%
DELTA	8 of 8 precinct reporting	1,485	2,157	327	403	15	24	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,587	3,949	65.51%
DENTON	186 of 186 precinct reporting	202,732	221,829	174,573	188,023	4,524	5,395	914	1,089	2	2	179	205	7	11	3	3	9	13	20	22	3	3	6	6	8	9	416,610	565,089	73.72%
DEWITT	10 of 10 precinct reporting	5,000	6,567	1,187	1,494	35	46	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,118	12,094	67.12%
DICKENS	7 of 7 precinct reporting	586	850	87	130	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	1,328	74.17%
DIMMIT	8 of 8 precinct reporting	852	1,384	1,592	2,264	8	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,666	7,341	49.94%
DONLEY	7 of 7 precinct reporting	1,009	1,438	143	198	6	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,648	2,322	70.97%
DUVAL	10 of 10 precinct reporting	1,799	2,442	2,124	2,573	12	22	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,050	8,346	60.51%
EASTLAND	10 of 10 precinct reporting	5,683	7,216	792	982	35	60	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8,271	12,230	67.63%
ECTOR	41 of 41 precinct reporting	25,867	32,586	9,211	11,310	292	428	56	89	0	0	0	0	2	2	1	1	0	0	0	0	0	0	1	1	0	0	44,417	80,872	54.92%
EDWARDS	5 of 5 precinct reporting	646	893	125	166	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,064	1,499	70.98%
ELLIS	50 of 50 precinct reporting	49,638	56,651	24,503	27,513	734	951	168	220	0	0	23	26	4	5	0	0	3	3	1	1	0	0	1	1	0	0	85,371	120,188	71.03%
EL PASO	209 of 209 precinct reporting	64,886	81,235	143,224	168,801	1,908	2,592	1,027	1,401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254,029	488,470	52.01%
ERATH	22 of 22 precinct reporting	11,028	13,669	2,407	2,914	164	217	26	35	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16,837	23,935	70.34%
FALLS	13 of 13 precinct reporting	2,342	4,177	1,306	1,899	27	44	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,133	10,361	59.19%
FANNIN	17 of 17 precinct reporting	8,804	12,150	2,124	2,638	94	155	16	23	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,969	22,199	67.43%
FAYETTE	27 of 27 precinct reporting	7,185	10,163	2,032	2,650	53	83	17	26	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,924	17,398	74.28%
FISHER	5 of 5 precinct reporting	1,022	1,448	262	352	17	21	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,826	2,646	69.01%
FLOYD	7 of 7 precinct reporting	1,314	1,581	339	437	8	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,035	3,850	52.86%
FOARD	5 of 5 precinct reporting	332	445	76	99	3	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	884	62.33%
FORT BEND	160 of 160 precinct reporting	143,623	157,595	180,197	195,191	2,555	3,019	903	1,089	0	0	8	8	1	1	0	0	3	3	1	1	0	0	0	0	1	1	356,908	482,368	73.99%
FRANKLIN	9 of 9 precinct reporting	3,246	4,153	661	803	24	36	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,000	7,061	70.81%
FREESTONE	16 of 16 precinct reporting	5,175	6,966	1,313	1,629	33	65	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,678	12,481	69.53%
FRIO	10 of 10 precinct reporting	1,852	2,812	1,800	2,421	11	23	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,264	8,984	58.59%
GAINES	9 of 9 precinct reporting	4,709	5,323	463	572	37	54	7	10	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,960	9,701	61.44%
GALVESTON	93 of 93 precinct reporting	84,668	93,306	53,326	58,247	1,533	1,899	310	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153,843	228,482	67.33%
GARZA	7 of 7 precinct reporting	1,058	1,411	169	231	4	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,651	2,681	61.58%
GILLESPIE	14 of 14 precinct reporting	9,747	12,495	2,799	3,163	105	139	12	16	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	15,817	20,404	77.52%
GLASSCOCK	5 of 5 precinct reporting	454	611	32	39	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	800	81.63%
GOLIAD	10 of 10 precinct reporting	2,212	3,081	676	872	12	23	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,978	5,766	68.99%
GONZALES	16 of 16 precinct reporting	4,430	5,568	1,532	1,894	37	57	10	14	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	7,534	12,629	59.66%
