County,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President
LAMB,3521,840,4410,8085,54.55%
LAMPASAS,8086,2144,10399,15424,67.42%
LASALLE,1335,1052,2406,4426,54.36%
LAVACA,8804,1333,10197,13661,74.64%
LEE,6255,1750,8087,11145,72.56%
LEON,7523,1072,8674,11727,73.97%
LIBERTY,23302,5785,29334,46155,63.56%
LIMESTONE,6789,2213,9095,13963,65.14%
LIPSCOMB,1205,131,1353,1977,68.44%
LIVE OAK,4199,819,5054,7572,66.75%
LLANO,10079,2465,12660,16688,75.86%
LOVING,60,4,66,111,59.46%
LUBBOCK,78861,40017,120817,183320,65.90%
LYNN,1853,428,2293,4028,56.93%
MCCULLOCH,2904,490,3436,5361,64.09%
MCLENNAN,59543,36688,97872,149461,65.48%
MCMULLEN,460,53,516,706,73.09%
MADISON,4169,1088,5298,7822,67.73%
MARION,3470,1339,4864,7596,64.03%
MARTIN,1857,288,2160,3467,62.30%
MASON,1991,457,2474,3168,78.09%
MATAGORDA,9845,3733,13727,22026,62.32%
MAVERICK,6881,8332,15346,33050,46.43%
MEDINA,15642,6773,22657,33763,67.11%
MENARD,823,197,1028,1469,69.98%
MIDLAND,45624,12329,58859,90392,65.12%
MILAM,7984,2496,10578,15838,66.79%
MILLS,2217,271,2505,3429,73.05%
MITCHELL,2170,397,2579,4524,57.01%
MONTAGUE,8615,1097,9819,14001,70.13%
MONTGOMERY,193382,74377,271543,370060,73.38%
MOORE,4359,1062,5508,9995,55.11%
MORRIS,3872,1669,5587,8583,65.09%
MOTLEY,604,46,652,859,75.90%
NACOGDOCHES,17378,9000,26785,38786,69.06%
NAVARRO,13800,5101,19123,29959,63.83%
NEWTON,4882,1173,6094,9400,64.83%
NOLAN,4131,1162,5357,8871,60.39%
NUECES,64617,60925,127322,211652,60.16%
OCHILTREE,2812,302,3156,5192,60.79%
OLDHAM,917,81,1009,1425,70.81%
ORANGE,29186,6357,35994,54442,66.11%
PALO PINTO,10179,2178,12489,18946,65.92%
PANOLA,9326,2057,11451,16808,68.13%
PARKER,62045,13017,76128,103999,73.20%
PARMER,2135,488,2650,4537,58.41%
PECOS,3215,1382,4668,8323,56.09%
POLK,18573,5387,24186,40520,59.69%
POTTER,22820,9921,33337,57736,57.74%
PRESIDIO,721,1463,2217,4789,46.29%
RAINS,5155,842,6053,8320,72.75%
RANDALL,50796,12802,64674,93313,69.31%
REAGAN,942,172,1124,1879,59.82%
REAL,1643,320,1982,2702,73.35%
RED RIVER,4517,1246,5806,8489,68.39%
REEVES,2254,1395,3689,7558,48.81%
REFUGIO,2210,1108,3366,5007,67.23%
